ID,Origin,Description,Parameter,Data Type,Polling Interval,Retention Time,Status,Thresholds,Template,Related Object
3316,NetXMS Agent,"Enduro/X queue /test1,srv,reply,tranhsv,244,22705: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,tranhsv,244,22705')",String,default,default,Active,,testhost2,
3315,NetXMS Agent,"Enduro/X queue /test1,srv,reply,tranhsv,245,22706: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,tranhsv,245,22706')",String,default,default,Active,,testhost2,
3314,NetXMS Agent,"Enduro/X queue /test1,srv,reply,tranhsv,246,22707: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,tranhsv,246,22707')",String,default,default,Active,,testhost2,
3313,NetXMS Agent,"Enduro/X queue /test1,srv,reply,tranhsv,247,22708: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,tranhsv,247,22708')",String,default,default,Active,,testhost2,
3312,NetXMS Agent,"Enduro/X queue /test1,srv,reply,tranhsv,248,22709: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,tranhsv,248,22709')",String,default,default,Active,,testhost2,
3311,NetXMS Agent,"Enduro/X queue /test1,srv,reply,tranhsv,249,22710: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,tranhsv,249,22710')",String,default,default,Active,,testhost2,
3310,NetXMS Agent,"Enduro/X queue /test1,srv,reply,tranhsv,250,22711: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,tranhsv,250,22711')",String,default,default,Active,,testhost2,
3309,NetXMS Agent,"Enduro/X queue /test1,srv,reply,tranhsv,251,22712: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,tranhsv,251,22712')",String,default,default,Active,,testhost2,
3308,NetXMS Agent,"Enduro/X queue /test1,srv,reply,tranhsv,252,22713: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,tranhsv,252,22713')",String,default,default,Active,,testhost2,
3307,NetXMS Agent,"Enduro/X queue /test1,srv,reply,tranhsv,253,22714: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,tranhsv,253,22714')",String,default,default,Active,,testhost2,
3306,NetXMS Agent,"Enduro/X queue /test1,srv,reply,tranhsv,254,22715: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,tranhsv,254,22715')",String,default,default,Active,,testhost2,
3305,NetXMS Agent,"Enduro/X queue /test1,srv,reply,tranhsv,255,22716: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,tranhsv,255,22716')",String,default,default,Active,,testhost2,
3304,NetXMS Agent,"Enduro/X queue /test1,srv,reply,tranhsv,256,22717: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,tranhsv,256,22717')",String,default,default,Active,,testhost2,
3303,NetXMS Agent,"Enduro/X queue /test1,srv,reply,tranhsv,257,22718: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,tranhsv,257,22718')",String,default,default,Active,,testhost2,
3302,NetXMS Agent,"Enduro/X queue /test1,srv,reply,tranhsv,258,22719: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,tranhsv,258,22719')",String,default,default,Active,,testhost2,
3301,NetXMS Agent,"Enduro/X queue /test1,srv,reply,tranhsv,259,22720: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,tranhsv,259,22720')",String,default,default,Active,,testhost2,
3300,NetXMS Agent,"Enduro/X queue /test1,srv,reply,tranhsv,260,22721: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,tranhsv,260,22721')",String,default,default,Active,,testhost2,
3299,NetXMS Agent,"Enduro/X queue /test1,srv,reply,tranhsv,261,22722: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,tranhsv,261,22722')",String,default,default,Active,,testhost2,
3298,NetXMS Agent,"Enduro/X queue /test1,srv,reply,tranhsv,262,22723: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,tranhsv,262,22723')",String,default,default,Active,,testhost2,
3297,NetXMS Agent,"Enduro/X queue /test1,srv,reply,tranhsv,263,22724: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,tranhsv,263,22724')",String,default,default,Active,,testhost2,
3296,NetXMS Agent,"Enduro/X queue /test1,srv,reply,tranhsv,264,22725: current requests queued","EnduroX.Queue.RequestsCurrent('/test1,srv,reply,tranhsv,264,22725')",String,default,default,Active,,testhost2,
